spawn telnet localhost 3467
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:226,time:934889178,copy_size:3781204 
checkpoint:227,time:955555592,copy_size:3863712 
checkpoint:228,time:922322616,copy_size:3731868 
checkpoint:229,time:958970036,copy_size:3870836 
checkpoint:230,time:922805811,copy_size:3723122 
checkpoint:231,time:944959681,copy_size:3807732 
checkpoint:232,time:953223703,copy_size:3859058 
checkpoint:233,time:939008691,copy_size:3792252 
checkpoint:234,time:928502204,copy_size:3736890 
checkpoint:235,time:926712351,copy_size:3752040 
checkpoint:236,time:951812988,copy_size:3848552 
checkpoint:237,time:952678204,copy_size:3848748 
checkpoint:238,time:958769138,copy_size:3878064 
checkpoint:239,time:936659382,copy_size:3784594 
checkpoint:240,time:942084057,copy_size:3797630 
checkpoint:241,time:937731213,copy_size:3789156 
checkpoint:242,time:944381289,copy_size:3807112 
checkpoint:243,time:935865064,copy_size:3777970 
checkpoint:244,time:950613826,copy_size:3838440 
checkpoint:245,time:929964466,copy_size:3767836 
checkpoint:246,time:954272394,copy_size:3860086 
checkpoint:247,time:941004280,copy_size:3809896 
checkpoint:248,time:954044207,copy_size:3871750 
checkpoint:249,time:935686847,copy_size:3783418 
checkpoint:250,time:935111045,copy_size:3780870 
checkpoint:251,time:951977139,copy_size:3848544 
checkpoint:252,time:972627793,copy_size:3932504 
checkpoint:253,time:954758941,copy_size:3860242 
checkpoint:254,time:950457355,copy_size:3832186 
checkpoint:255,time:959544733,copy_size:3878404 
checkpoint:256,time:944806204,copy_size:3819974 
checkpoint:257,time:949010925,copy_size:3838416 
checkpoint:258,time:946365847,copy_size:3826540 
checkpoint:259,time:934273499,copy_size:3791508 
checkpoint:260,time:956765481,copy_size:3861202 
checkpoint:261,time:960737132,copy_size:3889294 
checkpoint:262,time:945083844,copy_size:3819452 
checkpoint:263,time:952156294,copy_size:3848086 
checkpoint:264,time:928414913,copy_size:3745978 
checkpoint:265,time:953097388,copy_size:3849632 
checkpoint:266,time:935161690,copy_size:3784074 
checkpoint:267,time:946328781,copy_size:3827088 
checkpoint:268,time:940113583,copy_size:3808028 
checkpoint:269,time:948816132,copy_size:3835422 
checkpoint:270,time:955006808,copy_size:3868696 
checkpoint:271,time:957858886,copy_size:3865916 
checkpoint:272,time:944495919,copy_size:3808004 
checkpoint:273,time:947330778,copy_size:3820348 
checkpoint:274,time:930448078,copy_size:3761584 
checkpoint:275,time:955147943,copy_size:3861656 
checkpoint:276,time:938058898,copy_size:3773786 
checkpoint:277,time:955809913,copy_size:3867860 
checkpoint:278,time:943591585,copy_size:3815122 
checkpoint:279,time:939371778,copy_size:3800194 
checkpoint:280,time:938298021,copy_size:3790276 
checkpoint:281,time:929888454,copy_size:3757656 
checkpoint:282,time:930890235,copy_size:3758276 
checkpoint:283,time:936620690,copy_size:3780318 
checkpoint:284,time:932776937,copy_size:3758014 
checkpoint:285,time:944652967,copy_size:3818808 
checkpoint:286,time:939864970,copy_size:3790360 
checkpoint:287,time:922932499,copy_size:3738464 
checkpoint:288,time:930117411,copy_size:3770124 
checkpoint:289,time:918531255,copy_size:3709348 
checkpoint:290,time:849971886,copy_size:3444814 
checkpoint:291,time:930770069,copy_size:3776210 
checkpoint:292,time:944218865,copy_size:3815820 
checkpoint:293,time:922987790,copy_size:3726826 
checkpoint:294,time:934320613,copy_size:3779102 
checkpoint:295,time:923937748,copy_size:3736148 
checkpoint:296,time:971537246,copy_size:3922652 
checkpoint:297,time:931015312,copy_size:3757764 
checkpoint:298,time:926374493,copy_size:3748826 
checkpoint:299,time:949139961,copy_size:3838240 
checkpoint:300,time:932277021,copy_size:3763886 
checkpoint:301,time:964134709,copy_size:3906316 
checkpoint:302,time:938990745,copy_size:3802182 
checkpoint:303,time:939824994,copy_size:3804016 
checkpoint:304,time:45565298,copy_size:196742 
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
