spawn telnet localhost 3468
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:168,time:1980276051,copy_size:5423220 
checkpoint:169,time:1851268050,copy_size:5069560 
checkpoint:170,time:1832539987,copy_size:5018148 
checkpoint:171,time:1943762888,copy_size:5323070 
checkpoint:172,time:1969734482,copy_size:5394334 
checkpoint:173,time:1942010324,copy_size:5318330 
checkpoint:174,time:1865782939,copy_size:5109496 
checkpoint:175,time:1970380843,copy_size:5396044 
checkpoint:176,time:1940388627,copy_size:5313928 
checkpoint:177,time:2016915462,copy_size:5523588 
checkpoint:178,time:1990984101,copy_size:5452472 
checkpoint:179,time:1982987927,copy_size:5430630 
checkpoint:180,time:1880055752,copy_size:5148516 
checkpoint:181,time:1944648425,copy_size:5325478 
checkpoint:182,time:1998564462,copy_size:5473402 
checkpoint:183,time:2012349185,copy_size:5511018 
checkpoint:184,time:2052233381,copy_size:5620422 
checkpoint:185,time:2043515741,copy_size:5596654 
checkpoint:186,time:1875457798,copy_size:5135826 
checkpoint:187,time:1933039675,copy_size:5293756 
checkpoint:188,time:1875935987,copy_size:5137210 
checkpoint:189,time:1937783858,copy_size:5306698 
checkpoint:190,time:1926731113,copy_size:5276422 
checkpoint:191,time:1932463324,copy_size:5292104 
checkpoint:192,time:1932519158,copy_size:5292422 
checkpoint:193,time:1923369636,copy_size:5267122 
checkpoint:194,time:1879805200,copy_size:5147778 
checkpoint:195,time:1901302092,copy_size:5206904 
checkpoint:196,time:1821486636,copy_size:4987978 
checkpoint:197,time:1913003438,copy_size:5238846 
checkpoint:198,time:1869206642,copy_size:5118828 
checkpoint:199,time:1934376731,copy_size:5297230 
checkpoint:200,time:1871537666,copy_size:5125008 
checkpoint:201,time:1962152411,copy_size:5373550 
