spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:121, page_time:4377558, size_db:266240, actual:262376 
checkpoint:122, page_time:4371931, size_db:266240, actual:262376 
checkpoint:123, page_time:8807820, size_db:528384, actual:524584 
checkpoint:124, page_time:8806811, size_db:528384, actual:524584 
checkpoint:125, page_time:4377562, size_db:266240, actual:262376 
checkpoint:126, page_time:8806593, size_db:528384, actual:524584 
checkpoint:127, page_time:8804646, size_db:528384, actual:524584 
checkpoint:128, page_time:4372708, size_db:266240, actual:262376 
checkpoint:129, page_time:8806021, size_db:528384, actual:524584 
checkpoint:130, page_time:17583361, size_db:1052672, actual:1049000 
checkpoint:131, page_time:4374111, size_db:266240, actual:262376 
checkpoint:132, page_time:4371337, size_db:266240, actual:262376 
checkpoint:133, page_time:4372968, size_db:266240, actual:262376 
checkpoint:134, page_time:4369171, size_db:266240, actual:262376 
checkpoint:135, page_time:4369753, size_db:266240, actual:262376 
checkpoint:136, page_time:17585414, size_db:1052672, actual:1049000 
checkpoint:137, page_time:4373068, size_db:266240, actual:262376 
checkpoint:138, page_time:4369676, size_db:266240, actual:262376 
checkpoint:139, page_time:13198754, size_db:790528, actual:786792 
checkpoint:140, page_time:13196511, size_db:790528, actual:786792 
checkpoint:141, page_time:13194917, size_db:790528, actual:786792 
checkpoint:142, page_time:4374040, size_db:266240, actual:262376 
checkpoint:143, page_time:4370574, size_db:266240, actual:262376 
checkpoint:144, page_time:17590236, size_db:1052672, actual:1049000 
checkpoint:145, page_time:4376665, size_db:266240, actual:262376 
checkpoint:146, page_time:8808156, size_db:528384, actual:524584 
checkpoint:147, page_time:13199252, size_db:790528, actual:786792 
checkpoint:148, page_time:4375797, size_db:266240, actual:262376 
checkpoint:149, page_time:8810668, size_db:528384, actual:524584 
checkpoint:150, page_time:8806559, size_db:528384, actual:524584 
checkpoint:151, page_time:8810855, size_db:528384, actual:524584 
checkpoint:152, page_time:8807020, size_db:528384, actual:524584 
checkpoint:153, page_time:17588391, size_db:1052672, actual:1049000 
checkpoint:154, page_time:4374200, size_db:266240, actual:262376 
checkpoint:155, page_time:4372815, size_db:266240, actual:262376 
checkpoint:156, page_time:4372268, size_db:266240, actual:262376 
checkpoint:157, page_time:8809320, size_db:528384, actual:524584 
checkpoint:158, page_time:17595831, size_db:1052672, actual:1049000 
checkpoint:159, page_time:17583667, size_db:1052672, actual:1049000 
checkpoint:160, page_time:4373991, size_db:266240, actual:262376 
checkpoint:161, page_time:4372974, size_db:266240, actual:262376 
checkpoint:162, page_time:13197941, size_db:790528, actual:786792 
checkpoint:163, page_time:8809377, size_db:528384, actual:524584 
checkpoint:164, page_time:8807604, size_db:528384, actual:524584 
checkpoint:165, page_time:4374840, size_db:266240, actual:262376 
checkpoint:166, page_time:8808631, size_db:528384, actual:524584 
checkpoint:167, page_time:8804975, size_db:528384, actual:524584 
checkpoint:168, page_time:8810241, size_db:528384, actual:524584 
checkpoint:169, page_time:17583125, size_db:1052672, actual:1049000 
checkpoint:170, page_time:8811322, size_db:528384, actual:524584 
checkpoint:171, page_time:13197866, size_db:790528, actual:786792 
checkpoint:172, page_time:13200322, size_db:790528, actual:786792 
checkpoint:173, page_time:13196170, size_db:790528, actual:786792 
checkpoint:174, page_time:4377561, size_db:266240, actual:262376 
checkpoint:175, page_time:13198132, size_db:790528, actual:786792 
checkpoint:176, page_time:4372313, size_db:266240, actual:262376 
checkpoint:177, page_time:8807174, size_db:528384, actual:524584 
checkpoint:178, page_time:17585492, size_db:1052672, actual:1049000 
checkpoint:179, page_time:8809793, size_db:528384, actual:524584 
checkpoint:180, page_time:8805925, size_db:528384, actual:524584 
checkpoint:181, page_time:13198004, size_db:790528, actual:786792 
checkpoint:182, page_time:8808300, size_db:528384, actual:524584 
checkpoint:183, page_time:4369802, size_db:266240, actual:262376 
checkpoint:184, page_time:13195826, size_db:790528, actual:786792 
checkpoint:185, page_time:4375444, size_db:266240, actual:262376 
checkpoint:186, page_time:4369502, size_db:266240, actual:262376 
checkpoint:187, page_time:8809298, size_db:528384, actual:524584 
checkpoint:188, page_time:4370599, size_db:266240, actual:262376 
checkpoint:189, page_time:8805318, size_db:528384, actual:524584 
checkpoint:190, page_time:4371800, size_db:266240, actual:262376 
checkpoint:191, page_time:4371681, size_db:266240, actual:262376 
checkpoint:192, page_time:13197276, size_db:790528, actual:786792 
checkpoint:193, page_time:8810181, size_db:528384, actual:524584 
checkpoint:194, page_time:8805227, size_db:528384, actual:524584 
checkpoint:195, page_time:4374064, size_db:266240, actual:262376 
checkpoint:196, page_time:13203254, size_db:790528, actual:786792 
checkpoint:197, page_time:13198929, size_db:790528, actual:786792 
checkpoint:198, page_time:4370301, size_db:266240, actual:262376 
checkpoint:199, page_time:4369450, size_db:266240, actual:262376 
checkpoint:200, page_time:4370765, size_db:266240, actual:262376 
checkpoint:201, page_time:4370986, size_db:266240, actual:262376 
