spawn telnet localhost 3490
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:204, page_time:7933904, size_db:544768
checkpoint:205, page_time:3959171, size_db:274432
checkpoint:206, page_time:3957102, size_db:274432
checkpoint:207, page_time:3956077, size_db:274432
checkpoint:208, page_time:7931028, size_db:544768
checkpoint:209, page_time:3969592, size_db:274432
checkpoint:210, page_time:5948937, size_db:409600
checkpoint:211, page_time:2003129, size_db:139264
checkpoint:212, page_time:5943777, size_db:409600
checkpoint:213, page_time:3957482, size_db:274432
checkpoint:214, page_time:2001086, size_db:139264
checkpoint:215, page_time:7922588, size_db:544768
checkpoint:216, page_time:5943677, size_db:409600
checkpoint:217, page_time:2002896, size_db:139264
checkpoint:218, page_time:2002415, size_db:139264
checkpoint:219, page_time:3963529, size_db:274432
checkpoint:220, page_time:3960311, size_db:274432
checkpoint:221, page_time:5947483, size_db:409600
checkpoint:222, page_time:3954908, size_db:274432
checkpoint:223, page_time:3956048, size_db:274432
checkpoint:224, page_time:5947353, size_db:409600
checkpoint:225, page_time:2013773, size_db:139264
checkpoint:226, page_time:2003859, size_db:139264
checkpoint:227, page_time:2003549, size_db:139264
checkpoint:228, page_time:3957160, size_db:274432
checkpoint:229, page_time:7932680, size_db:544768
checkpoint:230, page_time:5940114, size_db:409600
checkpoint:231, page_time:2002120, size_db:139264
checkpoint:232, page_time:1999236, size_db:139264
checkpoint:233, page_time:5949425, size_db:409600
checkpoint:234, page_time:2017906, size_db:139264
checkpoint:235, page_time:2002876, size_db:139264
checkpoint:236, page_time:5952995, size_db:409600
checkpoint:237, page_time:3964081, size_db:274432
checkpoint:238, page_time:57650, size_db:4096
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
