spawn telnet localhost 3469
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:227,time:832719988,copy_size:3423774 
checkpoint:228,time:826973066,copy_size:3389866 
checkpoint:229,time:742534421,copy_size:3047356 
checkpoint:230,time:677120658,copy_size:2739222 
checkpoint:231,time:738335046,copy_size:3022676 
checkpoint:232,time:675345385,copy_size:2751056 
checkpoint:233,time:675620712,copy_size:2757378 
checkpoint:234,time:667528393,copy_size:2715184 
checkpoint:235,time:670348724,copy_size:2725230 
checkpoint:236,time:687704360,copy_size:2794278 
checkpoint:237,time:663129360,copy_size:2703034 
checkpoint:238,time:666724814,copy_size:2721926 
checkpoint:239,time:676937622,copy_size:2770424 
checkpoint:240,time:693348961,copy_size:2828280 
checkpoint:241,time:687729958,copy_size:2804360 
checkpoint:242,time:665965991,copy_size:2722306 
checkpoint:243,time:714921820,copy_size:2934712 
checkpoint:244,time:761066544,copy_size:3124798 
checkpoint:245,time:667494004,copy_size:2719752 
checkpoint:246,time:693336138,copy_size:2823232 
checkpoint:247,time:690988426,copy_size:2820782 
checkpoint:248,time:679407454,copy_size:2774636 
checkpoint:249,time:659158907,copy_size:2681618 
checkpoint:250,time:675510877,copy_size:2752316 
checkpoint:251,time:678057355,copy_size:2762336 
checkpoint:252,time:657338052,copy_size:2679552 
checkpoint:253,time:819815144,copy_size:3370192 
checkpoint:254,time:874344216,copy_size:3616526 
checkpoint:255,time:840219769,copy_size:3462160 
checkpoint:256,time:739481625,copy_size:3041072 
checkpoint:257,time:674857805,copy_size:2740368 
checkpoint:258,time:700360418,copy_size:2861204 
checkpoint:259,time:750233469,copy_size:3067430 
checkpoint:260,time:681462328,copy_size:2780172 
checkpoint:261,time:668716883,copy_size:2721568 
checkpoint:262,time:679607006,copy_size:2772388 
checkpoint:263,time:702396187,copy_size:2869698 
checkpoint:264,time:661272826,copy_size:2688634 
checkpoint:265,time:666585703,copy_size:2714804 
checkpoint:266,time:684954898,copy_size:2803568 
checkpoint:267,time:668189766,copy_size:2727292 
checkpoint:268,time:692046304,copy_size:2831184 
checkpoint:269,time:686737805,copy_size:2794308 
checkpoint:270,time:677243706,copy_size:2763584 
checkpoint:271,time:690747133,copy_size:2818918 
checkpoint:272,time:690867202,copy_size:2810180 
checkpoint:273,time:687416634,copy_size:2800350 
checkpoint:274,time:681902147,copy_size:2774634 
checkpoint:275,time:682458904,copy_size:2774040 
checkpoint:276,time:675381579,copy_size:2750932 
checkpoint:277,time:830848321,copy_size:3410586 
checkpoint:278,time:834154763,copy_size:3427584 
checkpoint:279,time:775558637,copy_size:3161038 
checkpoint:280,time:856152051,copy_size:3536584 
checkpoint:281,time:834212048,copy_size:3422324 
checkpoint:282,time:841128805,copy_size:3445160 
checkpoint:283,time:704686736,copy_size:2879740 
checkpoint:284,time:667010889,copy_size:2703502 
checkpoint:285,time:681845661,copy_size:2776240 
checkpoint:286,time:688569421,copy_size:2804068 
checkpoint:287,time:668033316,copy_size:2719108 
checkpoint:288,time:692362024,copy_size:2817482 
checkpoint:289,time:671710847,copy_size:2726020 
checkpoint:290,time:673513700,copy_size:2747458 
checkpoint:291,time:664186696,copy_size:2705256 
checkpoint:292,time:645627577,copy_size:2625984 
checkpoint:293,time:665292099,copy_size:2723172 
checkpoint:294,time:672995727,copy_size:2746026 
checkpoint:295,time:682729772,copy_size:2779320 
checkpoint:296,time:681612753,copy_size:2785686 
checkpoint:297,time:672347952,copy_size:2750400 
checkpoint:298,time:688449295,copy_size:2822632 
checkpoint:299,time:663540736,copy_size:2703684 
checkpoint:300,time:707333733,copy_size:2881412 
checkpoint:301,time:685832700,copy_size:2791920 
checkpoint:302,time:671396814,copy_size:2738998 
checkpoint:303,time:688435069,copy_size:2809824 
checkpoint:304,time:686248910,copy_size:2793982 
checkpoint:305,time:665732184,copy_size:2710696 
checkpoint:306,time:770090547,copy_size:3160196 
checkpoint:307,time:827342808,copy_size:3407376 
checkpoint:308,time:833040516,copy_size:3437192 
checkpoint:309,time:826271351,copy_size:3398720 
checkpoint:310,time:818669105,copy_size:3371614 
checkpoint:311,time:659232973,copy_size:2683396 
checkpoint:312,time:666058799,copy_size:2717138 
checkpoint:313,time:665686420,copy_size:2711672 
checkpoint:314,time:688785175,copy_size:2820828 
checkpoint:315,time:670542916,copy_size:2737016 
checkpoint:316,time:686625189,copy_size:2800306 
checkpoint:317,time:677560082,copy_size:2761262 
checkpoint:318,time:670703648,copy_size:2729024 
checkpoint:319,time:695440081,copy_size:2829614 
checkpoint:320,time:686054583,copy_size:2798900 
checkpoint:321,time:672822400,copy_size:2747918 
checkpoint:322,time:695584202,copy_size:2841118 
checkpoint:323,time:684091276,copy_size:2800026 
checkpoint:324,time:657695022,copy_size:2678134 
checkpoint:325,time:670273679,copy_size:2735142 
checkpoint:326,time:686416946,copy_size:2803444 
checkpoint:327,time:676339985,copy_size:2756762 
checkpoint:328,time:669714429,copy_size:2724382 
checkpoint:329,time:652198802,copy_size:2657718 
checkpoint:330,time:676073661,copy_size:2745076 
checkpoint:331,time:658761520,copy_size:2682604 
checkpoint:332,time:696707622,copy_size:2844410 
checkpoint:333,time:678781036,copy_size:2764762 
checkpoint:334,time:679196343,copy_size:2767362 
checkpoint:335,time:818756039,copy_size:3359866 
checkpoint:336,time:823107117,copy_size:3381012 
checkpoint:337,time:861612201,copy_size:3546088 
checkpoint:338,time:814973664,copy_size:3352094 
checkpoint:339,time:818040750,copy_size:3367344 
checkpoint:340,time:705773907,copy_size:2875634 
checkpoint:341,time:657266147,copy_size:2648898 
checkpoint:342,time:668469586,copy_size:2715570 
checkpoint:343,time:681440202,copy_size:2776744 
