spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:158, page_time:1817071, size_db:139264
checkpoint:159, page_time:3650762, size_db:274432
checkpoint:160, page_time:3655304, size_db:274432
checkpoint:161, page_time:1817349, size_db:139264
checkpoint:162, page_time:3656250, size_db:274432
checkpoint:163, page_time:3656832, size_db:274432
checkpoint:164, page_time:3658760, size_db:274432
checkpoint:165, page_time:1816036, size_db:139264
checkpoint:166, page_time:1820079, size_db:139264
checkpoint:167, page_time:7359117, size_db:544768
checkpoint:168, page_time:5514181, size_db:409600
checkpoint:169, page_time:3658747, size_db:274432
checkpoint:170, page_time:1821911, size_db:139264
checkpoint:171, page_time:1816568, size_db:139264
checkpoint:172, page_time:3651207, size_db:274432
checkpoint:173, page_time:3662053, size_db:274432
checkpoint:174, page_time:5516388, size_db:409600
checkpoint:175, page_time:7359580, size_db:544768
checkpoint:176, page_time:1820065, size_db:139264
checkpoint:177, page_time:3654712, size_db:274432
checkpoint:178, page_time:5513826, size_db:409600
checkpoint:179, page_time:1815419, size_db:139264
checkpoint:180, page_time:3654590, size_db:274432
checkpoint:181, page_time:3652411, size_db:274432
checkpoint:182, page_time:5517055, size_db:409600
checkpoint:183, page_time:5516034, size_db:409600
checkpoint:184, page_time:1818093, size_db:139264
checkpoint:185, page_time:3662253, size_db:274432
checkpoint:186, page_time:3654360, size_db:274432
checkpoint:187, page_time:3661306, size_db:274432
checkpoint:188, page_time:1817083, size_db:139264
checkpoint:189, page_time:1815647, size_db:139264
checkpoint:190, page_time:5517572, size_db:409600
checkpoint:191, page_time:1818719, size_db:139264
checkpoint:192, page_time:3653289, size_db:274432
checkpoint:193, page_time:3655030, size_db:274432
checkpoint:194, page_time:1817080, size_db:139264
checkpoint:195, page_time:1819828, size_db:139264
