spawn telnet localhost 3493
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:210, page_time:3758889, size_db:262144
checkpoint:211, page_time:1208535, size_db:86016
checkpoint:212, page_time:3758937, size_db:262144
checkpoint:213, page_time:1380933, size_db:98304
checkpoint:214, page_time:4305237, size_db:299008
checkpoint:215, page_time:2642634, size_db:184320
checkpoint:216, page_time:4121095, size_db:286720
checkpoint:217, page_time:5747086, size_db:397312
checkpoint:218, page_time:2760095, size_db:192512
checkpoint:219, page_time:1266087, size_db:90112
checkpoint:220, page_time:2386716, size_db:167936
checkpoint:221, page_time:2499516, size_db:176128
checkpoint:222, page_time:1208602, size_db:86016
checkpoint:223, page_time:2395133, size_db:167936
checkpoint:224, page_time:5261300, size_db:364544
checkpoint:225, page_time:5259945, size_db:364544
checkpoint:226, page_time:3939403, size_db:274432
checkpoint:227, page_time:5261292, size_db:364544
checkpoint:228, page_time:2407744, size_db:167936
checkpoint:229, page_time:4119005, size_db:286720
checkpoint:230, page_time:4783912, size_db:331776
checkpoint:231, page_time:2877527, size_db:200704
checkpoint:232, page_time:2499657, size_db:176128
checkpoint:233, page_time:5748265, size_db:397312
checkpoint:234, page_time:3582253, size_db:249856
checkpoint:235, page_time:3939417, size_db:274432
checkpoint:236, page_time:2525197, size_db:176128
checkpoint:237, page_time:1266007, size_db:90112
checkpoint:238, page_time:2642636, size_db:184320
checkpoint:239, page_time:2407735, size_db:167936
checkpoint:240, page_time:1380069, size_db:98304
checkpoint:241, page_time:5748276, size_db:397312
checkpoint:242, page_time:1381264, size_db:98304
checkpoint:243, page_time:3581698, size_db:249856
checkpoint:244, page_time:1436775, size_db:102400
checkpoint:245, page_time:2407751, size_db:167936
checkpoint:246, page_time:2642642, size_db:184320
checkpoint:247, page_time:3937828, size_db:274432
checkpoint:248, page_time:1208491, size_db:86016
checkpoint:249, page_time:1439720, size_db:102400
checkpoint:250, page_time:2760075, size_db:192512
checkpoint:251, page_time:2642623, size_db:184320
checkpoint:252, page_time:1206415, size_db:86016
checkpoint:253, page_time:4120175, size_db:286720
checkpoint:254, page_time:2525178, size_db:176128
checkpoint:255, page_time:5748253, size_db:397312
checkpoint:256, page_time:2523448, size_db:176128
checkpoint:257, page_time:2760050, size_db:192512
checkpoint:258, page_time:2525186, size_db:176128
checkpoint:259, page_time:1323735, size_db:94208
checkpoint:260, page_time:2407741, size_db:167936
checkpoint:261, page_time:1266133, size_db:90112
checkpoint:262, page_time:4305211, size_db:299008
checkpoint:263, page_time:3582335, size_db:249856
checkpoint:264, page_time:4121150, size_db:286720
checkpoint:265, page_time:2641374, size_db:184320
checkpoint:266, page_time:1208542, size_db:86016
checkpoint:267, page_time:1208235, size_db:86016
checkpoint:268, page_time:1208600, size_db:86016
checkpoint:269, page_time:1265968, size_db:90112
checkpoint:270, page_time:3758922, size_db:262144
checkpoint:271, page_time:2877520, size_db:200704
checkpoint:272, page_time:1208594, size_db:86016
checkpoint:273, page_time:1323746, size_db:94208
checkpoint:274, page_time:3758942, size_db:262144
checkpoint:275, page_time:2877537, size_db:200704
checkpoint:276, page_time:2642637, size_db:184320
checkpoint:277, page_time:3758933, size_db:262144
checkpoint:278, page_time:4121091, size_db:286720
checkpoint:279, page_time:2877547, size_db:200704
checkpoint:280, page_time:2757977, size_db:192512
checkpoint:281, page_time:2877549, size_db:200704
checkpoint:282, page_time:3758943, size_db:262144
checkpoint:283, page_time:4305248, size_db:299008
checkpoint:284, page_time:2760059, size_db:192512
checkpoint:285, page_time:1321837, size_db:94208
checkpoint:286, page_time:3581393, size_db:249856
checkpoint:287, page_time:1323667, size_db:94208
checkpoint:288, page_time:1266073, size_db:90112
checkpoint:289, page_time:4121099, size_db:286720
checkpoint:290, page_time:3582323, size_db:249856
checkpoint:291, page_time:1381271, size_db:98304
checkpoint:292, page_time:1439814, size_db:102400
checkpoint:293, page_time:1323682, size_db:94208
checkpoint:294, page_time:5259623, size_db:364544
checkpoint:295, page_time:1323732, size_db:94208
checkpoint:296, page_time:2518549, size_db:176128
checkpoint:297, page_time:1266085, size_db:90112
checkpoint:298, page_time:3939396, size_db:274432
checkpoint:299, page_time:3937651, size_db:274432
checkpoint:300, page_time:2760064, size_db:192512
checkpoint:301, page_time:1438720, size_db:102400
checkpoint:302, page_time:1439802, size_db:102400
checkpoint:303, page_time:2760069, size_db:192512
checkpoint:304, page_time:1437663, size_db:102400
checkpoint:305, page_time:2407386, size_db:167936
checkpoint:306, page_time:2877511, size_db:200704
checkpoint:307, page_time:2405890, size_db:167936
checkpoint:308, page_time:2877521, size_db:200704
checkpoint:309, page_time:4783915, size_db:331776
checkpoint:310, page_time:4303673, size_db:299008
checkpoint:311, page_time:1208606, size_db:86016
checkpoint:312, page_time:2641445, size_db:184320
checkpoint:313, page_time:2760067, size_db:192512
checkpoint:314, page_time:2513777, size_db:176128
checkpoint:315, page_time:1208545, size_db:86016
checkpoint:316, page_time:1381218, size_db:98304
checkpoint:317, page_time:2877532, size_db:200704
checkpoint:318, page_time:2514823, size_db:176128
checkpoint:319, page_time:1436970, size_db:102400
checkpoint:320, page_time:4120302, size_db:286720
checkpoint:321, page_time:2523355, size_db:176128
checkpoint:322, page_time:1266136, size_db:90112
checkpoint:323, page_time:1208593, size_db:86016
checkpoint:324, page_time:2738021, size_db:192512
checkpoint:325, page_time:1381209, size_db:98304
checkpoint:326, page_time:2505707, size_db:176128
checkpoint:327, page_time:1322432, size_db:94208
checkpoint:328, page_time:2877527, size_db:200704
checkpoint:329, page_time:4119558, size_db:286720
checkpoint:330, page_time:3758810, size_db:262144
checkpoint:331, page_time:1323555, size_db:94208
checkpoint:332, page_time:2760071, size_db:192512
checkpoint:333, page_time:1380097, size_db:98304
checkpoint:334, page_time:5502815, size_db:380928
checkpoint:335, page_time:3582336, size_db:249856
checkpoint:336, page_time:4121145, size_db:286720
checkpoint:337, page_time:1207145, size_db:86016
checkpoint:338, page_time:5261275, size_db:364544
checkpoint:339, page_time:2514842, size_db:176128
checkpoint:340, page_time:1379403, size_db:98304
checkpoint:341, page_time:2760059, size_db:192512
checkpoint:342, page_time:1266084, size_db:90112
checkpoint:343, page_time:2406744, size_db:167936
checkpoint:344, page_time:3938501, size_db:274432
checkpoint:345, page_time:1322790, size_db:94208
checkpoint:346, page_time:2760066, size_db:192512
checkpoint:347, page_time:1439851, size_db:102400
checkpoint:348, page_time:5020593, size_db:348160
checkpoint:349, page_time:2642083, size_db:184320
checkpoint:350, page_time:3582352, size_db:249856
checkpoint:351, page_time:1439031, size_db:102400
checkpoint:352, page_time:2877538, size_db:200704
checkpoint:353, page_time:1381218, size_db:98304
checkpoint:354, page_time:1266087, size_db:90112
checkpoint:355, page_time:1208603, size_db:86016
checkpoint:356, page_time:1439980, size_db:102400
checkpoint:357, page_time:4305228, size_db:299008
checkpoint:358, page_time:1323714, size_db:94208
checkpoint:359, page_time:1266121, size_db:90112
checkpoint:360, page_time:1208470, size_db:86016
checkpoint:361, page_time:1266068, size_db:90112
checkpoint:362, page_time:2875463, size_db:200704
checkpoint:363, page_time:2877520, size_db:200704
checkpoint:364, page_time:4121124, size_db:286720
checkpoint:365, page_time:1266141, size_db:90112
checkpoint:366, page_time:3939415, size_db:274432
checkpoint:367, page_time:1206617, size_db:86016
checkpoint:368, page_time:5020590, size_db:348160
checkpoint:369, page_time:1381272, size_db:98304
checkpoint:370, page_time:4120539, size_db:286720
