spawn telnet localhost 3465
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:264,time:1607850186,copy_size:4404708 
checkpoint:265,time:1520898012,copy_size:4161730 
checkpoint:266,time:1571609247,copy_size:4301580 
checkpoint:267,time:1542204751,copy_size:4220718 
checkpoint:268,time:1618274907,copy_size:4432058 
checkpoint:269,time:1570640111,copy_size:4305584 
checkpoint:270,time:1495588856,copy_size:4088692 
checkpoint:271,time:1540072831,copy_size:4215316 
checkpoint:272,time:1500804057,copy_size:4103344 
checkpoint:273,time:1507687243,copy_size:4121628 
checkpoint:274,time:1574515114,copy_size:4310698 
checkpoint:275,time:1584971727,copy_size:4342728 
checkpoint:276,time:1570371304,copy_size:4298108 
checkpoint:277,time:1555656637,copy_size:4257112 
checkpoint:278,time:1578994720,copy_size:4326038 
checkpoint:279,time:1545621297,copy_size:4230914 
checkpoint:280,time:1551271730,copy_size:4244288 
checkpoint:281,time:1490366667,copy_size:4074262 
checkpoint:282,time:1583175171,copy_size:4336758 
checkpoint:283,time:1572527826,copy_size:4306356 
checkpoint:284,time:1551771418,copy_size:4247038 
checkpoint:285,time:1530444540,copy_size:4188044 
checkpoint:286,time:1556358279,copy_size:4260692 
checkpoint:287,time:1579559243,copy_size:4327174 
checkpoint:288,time:1493194931,copy_size:4082102 
checkpoint:289,time:1566926658,copy_size:4289946 
checkpoint:290,time:1549366916,copy_size:4242164 
checkpoint:291,time:1579524114,copy_size:4325424 
checkpoint:292,time:1577722327,copy_size:4321120 
checkpoint:293,time:1571456222,copy_size:4304316 
checkpoint:294,time:1563841037,copy_size:4280114 
checkpoint:295,time:1595713249,copy_size:4372504 
checkpoint:296,time:1520369967,copy_size:4158810 
checkpoint:297,time:1572397829,copy_size:4306028 
checkpoint:298,time:1512287099,copy_size:4138642 
checkpoint:299,time:1555893243,copy_size:4261150 
checkpoint:300,time:1584883738,copy_size:4339302 
checkpoint:301,time:1545531762,copy_size:4231118 
checkpoint:302,time:1539347982,copy_size:4213386 
checkpoint:303,time:1559388138,copy_size:4267716 
checkpoint:304,time:1507713691,copy_size:4123104 
checkpoint:305,time:1543880015,copy_size:4225250 
checkpoint:306,time:1565559571,copy_size:4286828 
checkpoint:307,time:1537185226,copy_size:4206672 
checkpoint:308,time:1576324117,copy_size:4316444 
checkpoint:309,time:1554189733,copy_size:4253402 
checkpoint:310,time:1551024976,copy_size:4245794 
checkpoint:311,time:1557264886,copy_size:4261842 
checkpoint:312,time:1601458003,copy_size:4386856 
checkpoint:313,time:1587935349,copy_size:4351156 
checkpoint:314,time:1620863360,copy_size:4442254 
checkpoint:315,time:1582626171,copy_size:4334804 
checkpoint:316,time:1572192333,copy_size:4306598 
checkpoint:317,time:1595142469,copy_size:4369608 
checkpoint:318,time:1574789225,copy_size:4312986 
checkpoint:319,time:642673000,copy_size:1761580 
Cleaned up init process
GemOS shell again!
GemOS# Shutting down...
Connection closed by foreign host.
